period_number,retention_pct
0,100.0
1,4.61958962645485
2,4.546446124035981
3,4.487418034364614
4,4.395026241835517
5,4.43095638337461
6,4.309050546009829
7,4.111434767544816
8,4.052406677873449
9,3.984396052817308
10,3.713636771933427
11,3.795762809737068
12,3.5493846963261433
13,3.354335356542494
14,3.27734219610158
15,3.110523681812932
16,3.0604781275263377
17,2.9167575613699652
18,2.7217082215863155
19,2.6472814998267653
20,2.453515379383798
21,2.2828472070731047
22,2.11089581542173
23,1.8811995534396695
24,1.7387622066239783
25,1.5475625248623748
26,1.292201876066676
27,1.2241912510105353
28,1.0175929371607488
29,0.8097114039702806
30,0.5633332905593553
31,0.35673497670956894
32,0.16168563692591975
