cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
2017-10,100.0,4.3788672060923375,4.164683484055211,4.569252736792004,4.688243693479296,4.997620180866255,5.021418372203713,5.2356020942408374,4.950023798191337,4.878629224178963,5.021418372203713,4.521656354117088,5.116611137553546,5.378391242265588,4.021894336030462,3.90290337934317,4.878629224178963,4.3550690147548785,4.164683484055211,5.2594002855782955,4.140885292717753,4.7834364588291285,4.04569252736792,4.164683484055211,4.33127082341742,3.4983341266063777,3.641123274631128,3.688719657306045,3.641123274631128,3.688719657306045,3.2841504045692527,3.236554021894336,2.9985721085197525
2017-11,100.0,4.724257616660239,5.0520632472040115,4.974932510605477,4.608561511762437,4.897801774006942,5.129193983802546,5.495564982645584,5.0520632472040115,5.129193983802546,4.704974932510606,5.032780563054377,5.2063247204010805,3.779406093328191,4.724257616660239,4.685692248360971,4.83995372155804,4.068646355572696,4.3000385653682995,4.3000385653682995,5.071345931353644,3.8758195140763596,4.107211723871964,4.261473197069032,3.952950250674894,3.1237948322406477,3.586579251831855,3.914384882375627,3.740840725028924,3.4708831469340535,3.4516004627844197,2.7381411492479755,
2017-12,100.0,4.828519855595668,4.648014440433213,5.347472924187725,4.512635379061372,5.144404332129964,5.347472924187725,5.6859205776173285,5.708483754512636,5.1669675090252705,5.0767148014440435,5.257220216606498,3.9711191335740073,4.918772563176895,4.512635379061372,4.5577617328519855,4.30956678700361,4.17418772563177,4.264440433212997,4.332129963898916,3.7680505415162457,3.7003610108303246,3.7003610108303246,3.790613718411552,3.15884476534296,4.377256317689531,3.564981949458484,3.7680505415162457,3.5198555956678703,4.0388086642599275,2.752707581227437,,
2018-01,100.0,4.81259702816589,5.034375693058328,5.034375693058328,5.455755156353959,5.455755156353959,5.433577289864715,5.211798624972277,4.746063428698159,4.701707695719672,4.701707695719672,4.302506098913284,4.701707695719672,4.280328232424041,4.834774894655134,4.014193834553116,4.8791306276336215,4.479929030827234,4.657351962741185,4.413395431359503,4.1694388999778225,4.635174096251941,3.836770902639166,3.3488578398758038,4.102905300510091,4.102905300510091,3.371035706365048,3.6371701042359725,3.836770902639166,2.5948103792415167,,,
2018-02,100.0,5.399353072903708,5.225180393132621,4.976362279173924,5.673052998258274,5.175416770340881,5.25006220452849,4.7524259766110974,4.951480467778055,5.175416770340881,3.9810898233391394,5.274944015924359,4.702662353819358,4.453844239860662,4.229907937297836,4.851953222194576,4.0308534461308785,4.926598656382184,4.2050261259019655,3.9810898233391394,4.57825329684001,3.6825080865887037,3.4585717840258776,4.254789748693705,4.180144314506096,3.3092809156506595,3.359044538442399,3.956208011943269,2.911171933316745,,,,
2018-03,100.0,5.159828844701737,5.562547193556506,4.882959979864083,5.18499874150516,5.285678328718852,4.78228039265039,4.78228039265039,4.580921218223005,3.699974830103197,4.429901837402467,4.354392146992198,3.9516737981374277,3.8006544173168892,5.059149257488045,4.278882456581928,4.757110495846967,3.64963503649635,3.9516737981374277,4.228542662975081,4.178202869368235,3.297256481248427,3.64963503649635,3.750314623710043,3.4482758620689653,3.8509942109237354,3.045557513214196,2.668009061162849,,,,,
2018-04,100.0,5.0326441784548415,5.00544069640914,5.2502720348204575,4.951033732317737,4.6789989118607185,5.495103373231774,4.787812840043525,4.570184983677911,5.27747551686616,4.815016322089227,4.134929270946682,4.4069640914037,4.080522306855277,4.053318824809575,5.114254624591948,4.216539717083786,4.27094668117519,4.080522306855277,3.944504896626768,3.618063112078346,3.808487486398259,4.325353645266594,3.0195865070729053,3.373231773667029,3.8900979325353644,2.774755168661589,,,,,,
2018-05,100.0,5.24699972090427,5.191180574937204,5.107451855986604,5.33072843985487,5.609824169690204,4.381802958414736,3.7119732068099354,4.74462740720067,5.051632710019536,5.191180574937204,4.772536980184204,4.409712531398269,4.2701646664806026,4.939994418085403,3.7957019257605356,4.130616801562937,4.493441250348869,4.018978509628803,3.7957019257605356,4.018978509628803,4.102707228579402,3.8236114987440692,3.265420039073402,2.9863243092380687,2.4839519955344684,,,,,,,
2018-06,100.0,5.189069831631245,5.271874137455148,4.361026773392217,5.244272702180513,4.526635385040022,4.554236820314657,4.637041126138559,4.140215291195142,4.4162296439414845,4.333425338117582,5.078664090532707,4.388628208666851,5.0510626552580735,3.7261937620756282,4.0850124206458736,4.029809550096605,4.361026773392217,3.1741650565829422,3.5605851504278223,3.6157880209770905,3.6157880209770905,3.836599503174165,3.256969362406845,2.953353574385868,,,,,,,,
2018-07,100.0,4.6434991012582385,4.164170161773518,5.272618334331936,4.7633313361294185,4.823247453565009,4.7633313361294185,4.343918514080287,4.613541042540444,4.733373277411624,3.7147992810065906,4.433792690233672,4.463750748951468,4.044337926902337,3.7747153984421806,4.104254044337926,4.553624925104853,3.41521869382864,3.894547633313361,3.7147992810065906,3.3553025763930497,3.59496704613541,3.654883163571001,2.5464349910125823,,,,,,,,,
